urhobo,english
Osa,Rectangular woven basket for loads
Osiẹbe,Clerk ………….Rain
Osu,………….Ruler ; Governor
Ota,………….Speech
Oti,Leprosy
Otọ,Ground
Owọ,…………..Leg
gà,Sickness ; Disease
"ọ
suke",Hunch-back
"P
Patiẹn",Flat ; Deflated ; ( Evu patiẹn = Flat tummy)
Prarara,(adj) Describes the sudden and forceful
"PH
Phaphọ",Measure it
Phavwẹ,Meet me
Phẹghẹphẹghẹ,Flat ; not thick
Phihọ,Add to it
Phiọphiọ,Straight
Pho,Jump
Pho,Blow it
Phọphọ,Disgrace him/her
Phoro,Erase
Phoro,Stone it
Phiọ,Straighten it. Make it straight
"R
Ra",Go there
Rara,Crawl e.g. snails crawl
Rare,Lick; Use of
Rare,Finger or
Rare,Tongue
Re,Eat
Re,Eat food
Riẹre,Knows
Riẹre,Lure him/her
Ririe,Clean it ; Wipe up ; Wipe
Rọ,Swallow ; Swallow it
Roro,Think ; Think about it
Ruo,Do it
Ruo,Go inside
"RH
Rhá",Un-tie ; Loosen ; Un-tangle ; Un-do knot
Rhà,Fly
Rhà,Bore a hole in it
Rhariẹ,Re-Kindle ;Hurt an existing sore/pain
Rhẹrẹ,Watchfulness ; Spying on
Rhẹrhẹ,Swim
Rhẹrhẹ,Change ; Turn around ;Turn it over.
Rhẹrioma,Change anatomical position ; Turn a
Rhiọ,Start early ; Wake up early to begin
Rhiri,For a long time
Rhirirhìrì,Forever.
Rho,Pre-cook ; Not totally done ; Preservative
Rhoma ta,Say it again ; Repeat what you said
Rhuarho,Big. Repair ; Fix ; Make it better
Rhuo,Weave e.g. as when weaving a basket.
Rhuo,Put on your fashion gear ; Dress up.
Rhurho,Cover it e.g. Cover a pot
Rhurie,Rush ; uncontrollable population
"S
Sa",Shoot
"S
Sa",Agility ; Healthy and well ; Smart
Sẹ,Dress fashionably
Sẹ,Efficacy of medication or treatment
Se,Call
Se,Reject ; Refuse ; Say “no”
Si,.. Write
Siọ,Reject it outright
Sio,Write it
Sio,Pull (towards self )
Siomanu,Hide
Siomanu,Shake hands ; Shake my hand
Su,Govern ; Rule ; Lead
Suine,……Sing a song
Shẹ,Sell
Shẹ,Very far
Sherhẹ,Lie down
Shiguẹ,Greeting with the knees bent ; Kneel down
Shoma,Advertise one’s self
Shọrọ,Crawl
Shọrọ,Say it ; Confess
Ta,A mild condemnation ; Blame or curse
Takẹ,Tell him/her
"Tit
ẹ",…… Famous ; Popular
Tọ,Live long
Toro,Contribute
Tota,Speak ; Talk
Tua,Chase him/her /it
Tuato,Chew on your chewing stick
Tuatua,Strong and fearful
Tue,Shake it off e.g. cloth that falls on dirt
Tuọ,Chew it
"U
Ubeku",Bone
"U
Ubeku",Punch ; Knot
Uchuru,Products of animal husbandary ; Earthworm
Udi,Liquor
Údi,Grass cutter
Udio,Cover ; Cork ; Cap
Ufi,Trap
Ufi,Rope ( also called uruhrẹ )
Ufo,Work that a person does for someone
Ufuna,Bamboo-made cigarette pipe
Ufuoma,Peace ; A state of serenity.
Ugbakara,Ladder
Ugbenu,Hill
Ugbenu,Cocoyam farm
Ugbudia,Horse tail ; Ox tail
Ugbunu,Mouth
Ugbunu,Foolishness
Ughẹrughẹ,Miniature bell
Uje,Twenty
Uji,Stealing ; Thievery (Oji=Thieve)
Ujori,One hundred
Ukiri,Drum
Ukiri,Porridge
Úkóko,Group ; Association
Ukoko,Tobacco pipe
Ukoro,Elephant tusk bangle
Ukpono,Cripple
Ukuta,Stone
Ukuta,Committee
Une,Song
Une,Hole ; mouth
Unuebo,Shout : to express surprise or for help
Unurhoro,Door entrance
Upho,Throat
Uri,Two hundred
Uroko,A mile
Urhi,Law
Urhi,Finger
Urhiawọ,Toe
Urhiawọ,Sea/river/ocean
Urhiẹ,Line
Urhiẹ,Place of abode
Urhuru,Voice
Urhuru,Two hundred
Uriri,Glory
Uriri,Character ; Behavior
"u
ruhrẹ",Rope ; Cord ; Stem of some
Ushurhe,Axe
Ushurhe,Starch
Usi,Popularity
Úsi,Line
Úsi,Well-water fetching rope
Usiavwrẹ,Key
Usiavwrẹ,Orange
Utitẹ,Seal ; Stamp & seal in
Utitẹ,Notary
Utughẹ,Hut
Utughẹ,Hatred
Ututa,Onion
Ututa,Paddle
Uvwẹ,Space
Uvwẹ,Feather
Uyonvwi,Head
Uyonvwi,Slaughter ; Skin an animal ; Split e.g. kola nut
Va,Shout loud
Ve,Haggle the price e.g. asking for a lower price
Vẹn,Bend it
Viẹ,Weep ; Cry ; Grief
Vie,Suck e.g. A child sucks the mother’s breast
Vie,Older than ( vie we = older than you )
Vievie,Suck breast
Vo,Fetch e.g. water
Vọ,Full
Vọ,Tell him/her
Vughe,Recognise
Vuo,Uproot ; Harvest
Vurho,.Un organized competition to acquire ; Roast ; Preserve by drying .
Vrẹ,Get up
"VW
Vwarhe",Struggle
Vwariẹ,Shiver ; Shivering
Vwẹ,Urinate
Vwiẹ,Deliver e.g. baby ; Bear a child
Vwẹghẹvwẹghẹ,Very thin and flat ; Not thick
Vwerhẹ,Sleep
Vwerhẹ,Stop by ; Branch (while going on)
Vwirhi,Break ; separate into two more pieces
Vwio,Throw missiles at a target ; Stoning .
Vwioro,Droop …….Jump
Vwó,……. Own ; Own it = Vwóró
Vworho,… ………Sift it
Vworó,……. …Erase it
Vworovworo,…….Smooth
Vwovwo,Blow a wood or charcoal fire with the mouth
"W
Wado",Greeting to you all
Wẹ,You
Wẹ,Yourself
Wian,Do the work
Wiowian,Work
Wiowian,Pluck out e.g. seeds from bunches of fruits
Wran,Defrost ; Liquefy ; Heat solidified oil
"Y
Yan",Walk
"Y
Yan",Go away
Yanrhe,Come
Yanrhe,Bitter
Yare,Borrow ; Beg for your need
Yerakpọ,Live your life
Yere,Greet him/her
Yon,Hear
Yon,Hear my pleading/prayer
Yorho,"Eliminating water with a bucket, Pull out ; Pull off"
Yọrọ,Hold it
Yonvwe,Hear me
Yọnrhe,Smell
Yọnrhe,Sacrifice ( for a god )
Zighizighi,Rough ; Disorganized
Zigho,Disorganize it ; Scatter the arrangement.
Ziọziọ,Sluggish
Zọrọkọ,An adjective describing how tall and .
